31,74,3,122,157,26,369,82,229,135,33,4,57,70,51,55
76,130,4,157,222,29,435,93,283,259,104,21,77,134,73,22
110,190,11,222,357,39,507,185,285,382,110,168,90,191,83,402
119,645,20,520,365,42,543,208,286,389,175,178,87,302,87,184
129,646,22,615,413,96,,290,348,461,179,177,139,340,145,292
204,625,30,632,518,117,,294,357,545,247,180,163,369,156,487
216,,32,,520,151,,348,367,570,281,181,177,376,155,573
219,,44,,615,163,,349,644,143,287,265,178,435,178,221
231,,45,,557,213,,352,,,358,331,180,463,180,
226,,46,,564,219,,387,,,489,334,182,619,181,
267,,55,,632,243,,439,,,505,351,186,,184,
289,,58,,,260,,451,,,560,361,226,,218,
346,,76,,,258,,459,,,,334,242,,227,
423,,78,,,428,,483,,,,356,248,,238,
425,,87,,,550,,502,,,,363,264,,250,
476,,88,,,555,,542,,,,366,277,,257,
485,,91,,,651,,547,,,,381,307,,280,
499,,92,,,,,561,,,,403,331,,279,
510,,102,,,,,565,,,,399,344,,292,
514,,107,,,,,608,,,,415,345,,312,
574,,111,,,,,636,,,,418,356,,333,
605,,116,,,,,,,,,458,406,,334,
611,,131,,,,,,,,,487,536,,341,
626,,135,,,,,,,,,555,537,,372,
,,138,,,,,,,,,589,551,,386,
,,140,,,,,,,,,633,563,,393,
,,145,,,,,,,,,671,583,,415,
,,149,,,,,,,,,,594,,421,
,,154,,,,,,,,,,,,478,
,,155,,,,,,,,,,,,497,
,,163,,,,,,,,,,,,509,
,,167,,,,,,,,,,,,533,
,,168,,,,,,,,,,,,546,
,,169,,,,,,,,,,,,577,
,,170,,,,,,,,,,,,581,
,,179,,,,,,,,,,,,,
,,180,,,,,,,,,,,,,
,,212,,,,,,,,,,,,,
,,222,,,,,,,,,,,,,
,,223,,,,,,,,,,,,,
,,225,,,,,,,,,,,,,
,,232,,,,,,,,,,,,,
,,235,,,,,,,,,,,,,
,,243,,,,,,,,,,,,,
,,244,,,,,,,,,,,,,
,,249,,,,,,,,,,,,,
,,253,,,,,,,,,,,,,
,,266,,,,,,,,,,,,,
,,275,,,,,,,,,,,,,
,,286,,,,,,,,,,,,,
,,300,,,,,,,,,,,,,
,,301,,,,,,,,,,,,,
,,302,,,,,,,,,,,,,
,,307,,,,,,,,,,,,,
,,410,,,,,,,,,,,,,
,,430,,,,,,,,,,,,,
,,448,,,,,,,,,,,,,
,,453,,,,,,,,,,,,,
,,460,,,,,,,,,,,,,
,,463,,,,,,,,,,,,,
,,467,,,,,,,,,,,,,
,,484,,,,,,,,,,,,,
,,489,,,,,,,,,,,,,
,,498,,,,,,,,,,,,,
,,500,,,,,,,,,,,,,
,,501,,,,,,,,,,,,,
,,506,,,,,,,,,,,,,
,,507,,,,,,,,,,,,,
,,510,,,,,,,,,,,,,
,,511,,,,,,,,,,,,,
,,525,,,,,,,,,,,,,
,,531,,,,,,,,,,,,,
,,537,,,,,,,,,,,,,
,,538,,,,,,,,,,,,,
,,574,,,,,,,,,,,,,
,,580,,,,,,,,,,,,,
,,582,,,,,,,,,,,,,
,,589,,,,,,,,,,,,,
,,593,,,,,,,,,,,,,
,,595,,,,,,,,,,,,,
,,600,,,,,,,,,,,,,
,,626,,,,,,,,,,,,,
,,641,,,,,,,,,,,,,
,,665,,,,,,,,,,,,,
,,648,,,,,,,,,,,,,
,,618,,,,,,,,,,,,,
